time,seconds_elapsed,z,y,x
1761399478976575200,0.1215751953125,0.45347675681114197,-9.668160438537598,-1.3292309045791626
1761399478986651000,0.13165087890625,0.45325231552124023,-9.68925952911377,-1.3680617809295654
1761399478996731400,0.1417314453125,0.4709095358848572,-9.644967079162598,-1.3714286088943481
1761399479006837500,0.15183740234375,0.4563198685646057,-9.587057113647461,-1.430984377861023
1761399479016918000,0.16191796875,0.43941083550453186,-9.610625267028809,-1.4627076387405396
1761399479026999000,0.1719990234375,0.42841246724128723,-9.63636302947998,-1.4523078203201294
1761399479037080300,0.182080322265625,0.4362684488296509,-9.625738143920898,-1.4214824438095093
1761399479047160800,0.192160888671875,0.43858781456947327,-9.596708297729492,-1.4077905416488647
1761399479057240600,0.202240478515625,0.452953040599823,-9.563039779663086,-1.3824269771575928
1761399479067321300,0.2123212890625,0.4610334634780884,-9.539996147155762,-1.3471125364303589
1761399479077402400,0.22240234375,0.4877437651157379,-9.603741645812988,-1.3393313884735107
1761399479087482400,0.232482421875,0.4874444901943207,-9.703325271606445,-1.3162124156951904
1761399479097563100,0.242563232421875,0.5300164222717285,-9.727866172790527,-1.253214955329895
1761399479107644000,0.252643798828125,0.582614004611969,-9.726144790649414,-1.2192472219467163
1761399479117724400,0.262724365234375,0.6593781113624573,-9.773505210876465,-1.2210428714752197
1761399479127805400,0.272805419921875,0.6652140021324158,-9.84607982635498,-1.2121394872665405
1761399479137886700,0.28288671875,0.6676082015037537,-9.872041702270508,-1.1922376155853271
1761399479147966500,0.292966552734375,0.6797288060188293,-9.835979461669922,-1.1549779176712036
1761399479158043000,0.30304296875,0.7206547260284424,-9.747842788696289,-1.119738221168518
1761399479168123400,0.313123291015625,0.7852981686592102,-9.70085620880127,-1.1001356840133667
1761399479178206500,0.32320654296875,0.8286182284355164,-9.753154754638672,-1.1382932662963867
1761399479188288800,0.333288818359375,0.8981249332427979,-9.866355895996094,-1.2013654708862305
1761399479198370000,0.3433701171875,1.0209025144577026,-9.96362018585205,-1.2161048650741577
1761399479208450300,0.3534501953125,1.1459248065948486,-9.99332332611084,-1.2273277044296265
1761399479218505500,0.36350537109375,1.22642982006073,-9.949254989624023,-1.2710965871810913
1761399479228611800,0.37361181640625,1.2847884893417358,-9.860968589782715,-1.3183821439743042
1761399479238693000,0.383693115234375,1.3036428689956665,-9.773804664611816,-1.3747955560684204
1761399479248773600,0.393773681640625,1.3379846811294556,-9.737069129943848,-1.4130278825759888
1761399479258853400,0.403853271484375,1.408538818359375,-9.760188102722168,-1.4276924133300781
1761399479268934100,0.41393408203125,1.5182980298995972,-9.758840560913086,-1.408463954925537
1761399479279010800,0.4240107421875,1.657984733581543,-9.810689926147461,-1.4164695739746094
1761399479289095200,0.43409521484375,1.86276376247406,-9.909152030944824,-1.4674960374832153
1761399479299176200,0.44417626953125,2.0923826694488525,-9.987711906433105,-1.4139257669448853
1761399479309256700,0.454256591796875,2.369511604309082,-10.054973602294922,-1.3416507244110107
1761399479319338200,0.464338134765625,2.585214138031006,-10.085125923156738,-1.3340193033218384
1761399479329418200,0.474418212890625,2.651503562927246,-10.11213493347168,-1.5490485429763794
1761399479339498800,0.484498779296875,2.7118823528289795,-10.327314376831055,-1.5911715030670166
1761399479349575400,0.494575439453125,2.7540054321289062,-10.368539810180664,-1.8645594120025635
1761399479359660300,0.504660400390625,2.7368717193603516,-10.374151229858398,-2.166752576828003
1761399479369740500,0.514740478515625,2.770989179611206,-10.265214920043945,-2.4090158939361572
1761399479379821000,0.524821044921875,2.8032360076904297,-10.051233291625977,-2.7783963680267334
1761399479389901800,0.53490185546875,2.6985645294189453,-9.640103340148926,-3.1985785961151123
1761399479399982300,0.544982421875,2.5948657989501953,-9.166725158691406,-3.7229087352752686
1761399479410038000,0.5550380859375,2.8384008407592773,-8.871415138244629,-4.167182922363281
