time,seconds_elapsed,z,y,x
1761315398827021800,0.189021728515625,2.4191436767578125,-8.858229637145996,-3.90987229347229
1761315398845943600,0.207943603515625,2.414358139038086,-8.877371788024902,-3.9314076900482178
1761315398864865500,0.226865478515625,2.400001049041748,-8.839086532592773,-3.9314076900482178
1761315398883787300,0.245787353515625,2.3952155113220215,-8.865407943725586,-3.902693748474121
1761315398902709200,0.264709228515625,2.3952155113220215,-8.872586250305176,-3.895515203475952
1761315398921631000,0.283630859375,2.4023938179016113,-8.884550094604492,-3.926621913909912
1761315398940553000,0.302552978515625,2.414358139038086,-8.85344409942627,-3.9050865173339844
1761315398959474700,0.321474609375,2.407179594039917,-8.863015174865723,-3.90987229347229
1761315398978396400,0.340396484375,2.400001049041748,-8.85344409942627,-3.94097900390625
1761315398997318400,0.359318359375,2.3808584213256836,-8.865407943725586,-3.9361932277679443
1761315399016240000,0.378240234375,2.4023938179016113,-8.865407943725586,-3.8835511207580566
1761315399035162000,0.397162109375,2.4119651317596436,-8.86062240600586,-3.900300979614258
1761315399054083800,0.416083740234375,2.4095723628997803,-8.86780071258545,-3.902693748474121
1761315399073005800,0.435005859375,2.407179594039917,-8.896514892578125,-3.926621913909912
1761315399091927600,0.453927490234375,2.390429735183716,-8.894122123718262,-3.8668015003204346
1761315399110849300,0.472849365234375,2.4095723628997803,-8.906085968017578,-3.81655216217041
1761315399129771300,0.491771240234375,2.3880369663238525,-8.882157325744629,-3.871587038040161
1761315399148693000,0.51069287109375,2.400001049041748,-8.877371788024902,-3.9050865173339844
1761315399167615000,0.529614990234375,2.3976082801818848,-8.886942863464355,-3.8572301864624023
1761315399186536700,0.54853662109375,2.3976082801818848,-8.918049812316895,-3.8572301864624023
1761315399205458400,0.56745849609375,2.392822742462158,-8.894122123718262,-3.88594388961792
1761315399224380400,0.58638037109375,2.3784656524658203,-8.889336585998535,-3.8907296657562256
1761315399243302100,0.60530224609375,2.3856441974639893,-8.884550094604492,-3.8883368968963623
1761315399262224000,0.624223876953125,2.3976082801818848,-8.872586250305176,-3.9050865173339844
1761315399281145900,0.643145751953125,2.400001049041748,-8.86062240600586,-3.926621913909912
1761315399300067600,0.662067626953125,2.400001049041748,-8.824729919433594,-3.9457645416259766
1761315399318989600,0.680989501953125,2.3856441974639893,-8.831908226013184,-3.9672999382019043
1761315399337911300,0.699911376953125,2.383251428604126,-8.82233715057373,-3.964907169342041
1761315399356833000,0.7188330078125,2.400001049041748,-8.827122688293457,-3.9457645416259766
1761315399375755000,0.737755126953125,2.4023938179016113,-8.86062240600586,-3.972085475921631
1761315399394676700,0.7566767578125,2.4119651317596436,-8.86062240600586,-3.9314076900482178
1761315399413598700,0.7755986328125,2.383251428604126,-8.874979019165039,-3.9314076900482178
1761315399432520400,0.7945205078125,2.3976082801818848,-8.874979019165039,-3.9146578311920166
