time,seconds_elapsed,z,y,x
1761399829614637800,0.097637939453125,-0.0997568890452385,-0.10646841675043106,-0.14362327754497528
1761399829624742700,0.10774267578125,-0.10325420647859573,-0.10845022648572922,-0.1451554298400879
1761399829634822400,0.117822509765625,-0.10262136161327362,-0.10623525828123093,-0.1418246477842331
1761399829644882700,0.127882568359375,-0.09954039007425308,-0.096009761095047,-0.1380109041929245
1761399829654970400,0.137970458984375,-0.09644276648759842,-0.08453521877527237,-0.13747797906398773
1761399829665075500,0.148075439453125,-0.09507714211940765,-0.06943012773990631,-0.14422281086444855
1761399829675137500,0.158137451171875,-0.09431106597185135,-0.050411369651556015,-0.150651216506958
1761399829685213200,0.168213134765625,-0.0919129028916359,-0.0374879390001297,-0.15228331089019775
1761399829695308000,0.17830810546875,-0.0901808962225914,-0.03530627861618996,-0.15441501140594482
1761399829705389600,0.1883896484375,-0.09324521571397781,-0.04031910374760628,-0.15977756679058075
1761399829715444200,0.1984443359375,-0.09647607058286667,-0.045315276831388474,-0.16808785498142242
1761399829725527000,0.208527099609375,-0.10158882290124893,-0.04643108695745468,-0.1750158816576004
1761399829735606800,0.218606689453125,-0.10771745443344116,-0.0469307042658329,-0.18047836422920227
1761399829745713400,0.22871337890625,-0.11054862290620804,-0.04724712669849396,-0.18728981912136078
1761399829755794700,0.238794677734375,-0.11096496880054474,-0.05122740939259529,-0.19574999809265137
1761399829765849600,0.248849609375,-0.10771745443344116,-0.05967094004154205,-0.20700803399085999
1761399829775955700,0.258955810546875,-0.10606872290372849,-0.06744831800460815,-0.21878235042095184
1761399829786036500,0.269036376953125,-0.10220501571893692,-0.06982982158660889,-0.23275497555732727
1761399829796074000,0.279073974609375,-0.09907408058643341,-0.0687306672334671,-0.24726052582263947
1761399829806179000,0.289178955078125,-0.09832465648651123,-0.07570865005254745,-0.262265682220459
1761399829816279600,0.299279541015625,-0.10035642981529236,-0.08506814390420914,-0.27255779504776
1761399829826360800,0.30936083984375,-0.10020654648542404,-0.09134666621685028,-0.28433212637901306
1761399829836442400,0.3194423828125,-0.09815811365842819,-0.09141328185796738,-0.2908104956150055
1761399829846503400,0.32950341796875,-0.09492725878953934,-0.08418548852205276,-0.293858140707016
1761399829856580900,0.339580810546875,-0.09056393802165985,-0.08376914262771606,-0.2919096350669861
1761399829866684200,0.34968408203125,-0.08695003390312195,-0.08655034005641937,-0.29001110792160034
1761399829876765200,0.35976513671875,-0.08008863031864166,-0.09014758467674255,-0.29092705249786377
